Employee_Name,EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,RoleID,LevelID,PerfScoreID,Tribe,Squad,DOB,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,RecruitmentSource,EngagementSurvey,EngangementSurveyRound,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
Faraz Ayudia A,10090,Not married,Single,F,TKP/ Outsource,Back End Developer,Middle,Exceed,EWD,RPA & Profitability,04/14/55,Jawa,40854,43237,military,Voluntarily Terminated,Google Search,3.13,3,3,0,42770,0,16
Fauza Alfisyahrin,10091,Not married,Single,M,TKP/ Outsource,Mobile Developer Android,Middle,Need improvement,IHX,Squad B,10/18/89,Jawa,42135,,N/A-StillEmployed,Active,Indeed,1.56,2,5,0,43833,6,15
Fauzan Indra,10092,Not married,Single,M,TKP/ Outsource,Back End Developer,Junior,Exceed,IHX,Squad D,06/18/87,Padang,42093,,N/A-StillEmployed,Active,LinkedIn,1.2,1,3,6,43865,3,2
Fauzi Radian Hantoro,10093,Married,Widowed,F,TKP/ Outsource,Mobile Developer Android,Junior,Average,EWD,Data & Dashboard Analytics,03/16/81,Padang,40917,,N/A-StillEmployed,Active,Google Search,5,5,5,0,43859,0,19
Fauzi Zaki Ma'ruf,10094,Not married,Single,M,TKP/ Outsource,Mobile Developer Android,Middle,Fully meets,EWD,Explore,29596,Sunda,40679,42179,hours,Voluntarily Terminated,Google Search,4.76,5,5,0,41734,0,20
Febby Wijaya,10095,Married,Married,F,TKP/ Outsource,Back End Developer,Junior,Need improvement,ENT,NETMONK,30539,Padang,40637,42013,career change,Voluntarily Terminated,Google Search,3.66,4,3,0,41281,0,6
Ferli,10096,Not married,Single,M,TKP/ Outsource,Back End Developer,Junior,Average,EWD,RPA & Profitability,27582,Sunda,41911,44062,Fatal attraction,Terminated for Cause,Employee Referral,2,2,5,0,43858,4,7
Fikri Akbar,10097,Married,Divorced,M,TKP/ Outsource,Back End Developer,Junior,Average,EWD,Explore,29348,Sunda,40648,,N/A-StillEmployed,Active,Indeed,5,5,5,5,43837,0,15
Fikri Auliya Rahman,10098,Married,Married,F,TKP/ Outsource,Front End Developer,Senior,Fully meets,COM,ChatAja,04/16/79,Padang,39818,,N/A-StillEmployed,Active,Other,5,5,3,2,43869,0,3
Fransky,10099,Not married,Single,M,TKP/ Outsource,System Documentation,Junior,Average,FIN,MPS,08/28/63,Cina,40792,,N/A-StillEmployed,Active,CareerBuilder,4.3,4,3,0,43857,2,7
Freza Nugraha,10100,Not married,Single,F,Prohire,System Documentation,Junior,Exceed,FIN,Inpoin,24996,Padang,40299,,N/A-StillEmployed,Active,LinkedIn,4.7,5,4,5,43862,0,1
Gabe Rizky Putra,10101,Married,Divorced,M,Prohire,Back End Developer,Middle,Need improvement,COM,ChatAja,09/15/85,Bali,42093,,N/A-StillEmployed,Active,Employee Referral,4.5,5,3,0,43879,0,5
Gana,10102,Married,Married,F,Prohire,Back End Developer,Junior,Fully meets,ENT,Intermoda,30359,Cina,40679,,N/A-StillEmployed,Active,LinkedIn,4.2,4,4,0,43887,0,12
Gema Saputera,10103,Not married,Single,F,Prohire,Back End Developer,Junior,Fully meets,COM,ChatAja,32883,Jawa,42093,,N/A-StillEmployed,Active,LinkedIn,3.73,4,3,0,43846,0,19
Gerald Ghibran Gunasha,10104,Not married,Single,F,TKP/ Outsource,Back End Developer,Senior,Special treatment,FIN,GTM,05/15/70,Jawa,40854,43419,hours,Voluntarily Terminated,Diversity Job Fair,4.24,4,4,0,42854,0,2
Geraldy Martin Pangabean,10105,Not married,Single,F,TKP/ Outsource,Back End Developer,Junior,Fully meets,EWD,Active & Install,26213,Sunda,41827,42983,attendance,Terminated for Cause,CareerBuilder,3.97,4,4,0,42019,0,7
Gilang Ramadhan,10106,Married,Widowed,M,TKP/ Outsource,Front End Developer,Junior,Fully meets,EWD,Evaluate,27280,Cina,41001,42911,military,Voluntarily Terminated,Diversity Job Fair,3.97,4,4,0,42389,3,15
Gilbi,10107,Married,Widowed,F,Prohire,Back End Developer,Junior,Special treatment,EWD,Explore,29438,Bali,41911,,N/A-StillEmployed,Active,Indeed,3.9,4,4,0,43868,0,3
Giska Adilah Sharfina Saputra,10108,Married,Widowed,F,TKP/ Outsource,Front End Developer,Junior,Fully meets,EWD,Get Support & Terminated,09/22/89,Padang,42051,,N/A-StillEmployed,Active,Indeed,4.5,5,5,0,43855,0,20
Gusti Zainokta,10109,Married,Married,F,TKP/ Outsource,Back End Developer,Junior,Average,EWD,Pay,10/23/71,Cina,42051,42809,"no-call, no-show",Terminated for Cause,Indeed,4.6,5,4,4,42389,0,10
Hadi,10110,Not married,Single,M,TKP/ Outsource,Mobile Developer iOS,Junior,Fully meets,ENT,HunianAja,11/24/89,Jawa,42093,,N/A-StillEmployed,Active,LinkedIn,4.3,4,5,7,43840,0,20
Hadi Purnomo,10111,Married,Widowed,F,Prohire,Back End Developer,Junior,Average,ENT,Intermoda,06/18/92,Sunda,41589,,N/A-StillEmployed,Active,Indeed,4.3,4,5,0,43879,0,7
Hakim Rizki Pratama,10112,Not married,Single,M,TKP/ Outsource,Back End Developer,Senior,Average,FIN,Inpoin,09/29/69,Padang,40735,,N/A-StillEmployed,Active,Diversity Job Fair,4.5,5,4,0,43879,0,1
Halah Helmia Wahdah,10113,Married,Married,M,TKP/ Outsource,Back End Developer,Junior,Average,EWD,Data & Dashboard Analytics,23721,Bali,40294,41424,career change,Voluntarily Terminated,Diversity Job Fair,3,3,3,0,40974,3,10
Hammad Bhat,10114,Not married,Single,F,Prohire,Back End Developer,Senior,Exceed,EWD,Explore,04/16/81,Jawa,42009,,N/A-StillEmployed,Active,Employee Referral,4.61,5,4,5,43858,0,11
Hanif Maghfur,10115,Married,Married,F,TKP/ Outsource,Back End Developer,Middle,Average,EWD,AM Performance,05/25/86,Cina,41771,,N/A-StillEmployed,Active,LinkedIn,4.6,5,3,0,43868,0,20
Hans Christian Saragih,10116,Not married,Single,M,TKP/ Outsource,Front End Developer,Middle,Average,EWD,Delivery & Project Mgt,05/21/79,Bali,41092,,N/A-StillEmployed,Active,LinkedIn,5,5,3,0,43844,0,2
Hardeni Jumaidi,10117,Married,Married,F,TKP/ Outsource,Back End Developer,Middle,Fully meets,EWD,Evaluate,30540,Jawa,41547,,N/A-StillEmployed,Active,Google Search,4.4,4,5,0,43882,0,1
Harsa,10118,Not married,Single,F,TKP/ Outsource,Back End Developer,Junior,Average,EWD,Get Support,27282,Padang,41505,,N/A-StillEmployed,Active,LinkedIn,4.1,4,5,0,43876,0,3
Hasanal Bulkiah,10119,Married,Widowed,M,TKP/ Outsource,Front End Developer,Junior,Exceed,EWD,Get Support & Terminated,29897,Bali,42157,,N/A-StillEmployed,Active,Employee Referral,4.63,5,3,0,43834,0,2
Hasbi Nur Fadhil,10120,Married,Widowed,F,TKP/ Outsource,Front End Developer,Junior,Average,EWD,Pay,05/21/83,Bali,40595,42380,more money,Voluntarily Terminated,CareerBuilder,5,5,5,0,41793,0,17
Hazrul Saktio Ramadhana,10121,Not married,Single,M,TKP/ Outsource,Back End Developer,Junior,Exceed,EWD,Payment - SSOF,06/30/89,Padang,42845,,N/A-StillEmployed,Active,Indeed,4.2,4,5,5,43858,0,8
Herdis Suryatna,10122,Not married,Single,M,TKP/ Outsource,Front End Developer,Junior,Exceed,HLT,Pre Vaksinasi,25448,Bali,40975,42674,relocation out of area,Voluntarily Terminated,LinkedIn,4.5,5,5,0,41671,0,20
Hervita Ayu Andini,10123,Not married,Single,F,TKP/ Outsource,Front End Developer,Senior,Special treatment,HLT,Vaksinasi,03/23/77,Jawa,40875,,N/A-StillEmployed,Active,Google Search,4.2,4,4,0,43883,0,13
